"FunctionId","FunctionName","FunctionDescription","ToolId","SkillId"
1,Написать свой класс,,1,1
2,Написать свой класс-наследник,,1,2
3,Импортировать класс библиотеки,,1,3
4,Задать аргументы объекта при его содании,,1,28
5,Вызвать методы объекта,,1,
6,Написать функцию-декоратор,,2,4
7,Обернуть функцию в декоратор,,2,5
8,Вызвать декорируемую функцию,,2,
9,Написать коллбек-функцию,,3,6
10,"Написать ф-ю верхнего уровня, к-я принимает ф-ю в кач-ве аргумента",,3,7
11,"Вызвать ф-ю верхнего уровня, передав ф-ю в кач-ве аргумента",,3,8
12,Принять соединение,,4,11
13,Получить текст от клиента,,4,9
14,Получить бинарные данные от клиента,,4,9
15,Получить JSON от клиента,,4,9
16,Отправить клиенту текст,,4,10
17,Отправить клиенту бинарные данные,,4,10
18,Отправить клиенту JSON,,4,10
19,Закрыть соединение,,4,12
20,Отправить текстовое сообщение,,5,10
21,Отправить бинарные данные,,5,10
22,Отправить JSON,,5,10
23,Принять сообщение,,5,9
24,Закрыть соединение,,5,12
25,Асинхронный GET-запрос,,6,27
26,Асинхронный POST-запрос,,6,27
27,Закрыть клиент,,6,
28,Преобразовать ответ в JSON,,6,18
29,Вызвать исключение при 4xx / 5xx статусе,,6,17
30,Прочитать ответ потоком (stream_text()),,6,19
31,Асинхронный GET-запрос,,7,27
32,Асинхронный POST-запрос,,7,27
33,Закрыть клиент,,7,
34,Преобразовать ответ в JSON,,7,18
35,Вызвать исключение при 4xx / 5xx статусе,,7,17
36,Прочитать ответ потоком (stream_text()),,7,19
38,Просмотреть документацию к API,,8,23
39,Подготовить документацию к API,,8,
40,"Проверить, что значение поля e-mail соответствует ожидаемому",,9,24
41,Получить объект модели данных из JSON объекта,,9,
42,Создать таблицу в БД на основе заданной модели,,10,
43,Создать запись в БД по POST-запросу к эндпоинту согласно заданной модели,,10,25
44,Создать объект веб-приложения,,12,28
45,Создать эндпоинт,,12,5
46,Создать обработчик событий,,12,5
47,"Создать функцию-зависимость, выполняемую перед обработкой события (Depends)",,12,6
48,Передать функцию для вонового выполнения (BackgroundTasks),,12,6
